tag,n,m,cap_factor,corr,seed,brd_found_pne,brd_alpha,brd_time,initial_pne_welfare,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_welfare,so_status,so_welfare,so_time,pos
n35_m30_cf0.5_corruncorrelated,35,30,0.5,uncorrelated,57348,True,1.0,0.202650785446167,256280.0,OPTIMAL,2.9448936772107136e-06,313450.9230769231,34,315,1.3860011100769043,313450.0,0.3029694557189941,313450.0,OPTIMAL,313423.0,0.2795367240905761,0.9999138618599458
n35_m30_cf0.5_corrweakly_correlated,35,30,0.5,weakly_correlated,58357,True,1.0,0.1809632778167724,249017.0,OPTIMAL,9.925813732914734e-05,272045.0,282,2625,27.820178747177124,272018.0,0.3445303440093993,272018.0,OPTIMAL,272026.0,12.91796588897705,1.000029409818468
n35_m50_cf0.2_corrstrongly_correlated,35,50,0.2,strongly_correlated,62393,True,1.0,1.0993983745574951,241811.0,OPTIMAL,9.7617720870262e-05,245881.0,253,2030,224.49834489822388,245857.0,1.2823922634124756,245857.0,OPTIMAL,245864.0,42.08953619003296,1.000028471835254
n35_m50_cf0.2_corruncorrelated,35,50,0.2,uncorrelated,60375,True,1.0,0.4208950996398926,399948.0,OPTIMAL,6.953085851429338e-05,417110.0,51,420,8.29472017288208,417081.0,0.6229920387268066,417081.0,OPTIMAL,417095.0,7.311296224594116,1.0000335666213518
n35_m50_cf0.2_corrweakly_correlated,35,50,0.2,weakly_correlated,61384,True,1.0,0.5474975109100342,202323.0,OPTIMAL,9.849111610132766e-05,203084.0,19,735,31.9251492023468,203064.0,0.7699103355407715,203064.0,OPTIMAL,203064.0,16.459264039993286,1.0
n35_m50_cf0.5_corrstrongly_correlated,35,50,0.5,strongly_correlated,65420,True,1.0,1.127861499786377,407300.0,TIME_LIMIT,0.0002240486549396,522324.9999999987,229,2205,600.1094648838043,522208.0,1.268998384475708,522208.0,TIME_LIMIT,522171.0,600.0942628383636,0.9999291470065568
n35_m50_cf0.5_corruncorrelated,35,50,0.5,uncorrelated,63402,True,1.0,0.5805437564849854,479534.0,OPTIMAL,0.0,571722.0,28,595,3.829915761947632,571722.0,0.7352120876312256,571722.0,OPTIMAL,571706.0,0.6527562141418457,0.9999720143706208
n35_m50_cf0.5_corrweakly_correlated,35,50,0.5,weakly_correlated,64411,True,1.0,2.425471544265747,461229.0,TIME_LIMIT,0.0062836963697637,465803.6916310818,788,8260,600.3705542087555,462895.0,3.602466583251953,462895.0,OPTIMAL,465740.0,83.8306622505188,1.00614610224781
n40_m30_cf0.2_corrstrongly_correlated,40,30,0.2,strongly_correlated,68447,True,1.0,0.4048116207122803,160875.0,OPTIMAL,6.737430099162721e-05,163278.0,67,880,37.69235277175903,163267.0,0.5480782985687256,163267.0,OPTIMAL,163263.0,21.19052243232727,0.9999755002541848
n40_m30_cf0.2_corruncorrelated,40,30,0.2,uncorrelated,66429,True,1.0,0.4372248649597168,256615.0,OPTIMAL,1.4774267658020028e-05,270745.0,51,920,6.8383660316467285,270741.0,0.6453390121459961,270741.0,OPTIMAL,270733.0,4.077188491821289,0.999970451464684
n40_m30_cf0.2_corrweakly_correlated,40,30,0.2,weakly_correlated,67438,True,1.0,0.687230110168457,134146.0,OPTIMAL,9.55741802676077e-05,136033.0,58,1000,28.99955701828003,136020.0,1.0075390338897705,136020.0,OPTIMAL,136021.0,19.784926652908325,1.0000073518600203
n40_m30_cf0.5_corrstrongly_correlated,40,30,0.5,strongly_correlated,71474,True,1.0,0.3392221927642822,324587.0,TIME_LIMIT,0.0003780132277428,367850.99999999977,202,2200,600.062028169632,367712.0,0.4482984542846679,367712.0,TIME_LIMIT,367743.0,600.1705198287964,1.0000843051083457
n40_m30_cf0.5_corruncorrelated,40,30,0.5,uncorrelated,69456,True,1.0,0.2236866950988769,309022.0,OPTIMAL,0.0,369640.0,41,560,2.229630708694458,369640.0,0.3347539901733397,369640.0,OPTIMAL,369615.0,0.5183432102203369,0.9999323666269884
n40_m30_cf0.5_corrweakly_correlated,40,30,0.5,weakly_correlated,70465,True,1.0,0.2351982593536377,320691.0,OPTIMAL,8.606195846281048e-05,325375.0,121,2280,26.70071792602539,325347.0,0.3452882766723631,325347.0,OPTIMAL,325352.0,13.54949951171875,1.0000153682068684
