seed,n,m,w,u,regular,brd_found_pne,brd_alpha,brd_time,zr_status,zr_gurobi_status,zr_mip_gap,zr_obj_bound,zr_runtime,zr_time,zr_eis_added_total,zr_eis_added_symmetric,zr_eis_added_core,zr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
0,4,4,8,8,TRUE,TRUE,1,0.009996176,OPTIMAL,2,0,32,0.027624369,0.037620544,0,0,0,0.018507957,32,OPTIMAL,32,0.023002625,1
0,4,4,8,9,TRUE,TRUE,1,0.033126593,OPTIMAL,2,0,32,0.032996416,0.066123009,0,0,0,0.041126728,32,OPTIMAL,32,0.161025047,1
0,4,4,8,10,TRUE,TRUE,1,0.024122715,OPTIMAL,2,0,32,0.041912079,0.066034794,0,0,0,0.0332582,32,OPTIMAL,32,0.162900686,1
0,4,4,9,9,TRUE,TRUE,1,0.008023977,OPTIMAL,2,0,36,0.031008959,0.039032936,0,0,0,0.01602459,36,OPTIMAL,36,0.032994509,1
0,4,4,9,10,TRUE,TRUE,1,0.027002335,OPTIMAL,2,0,36,0.049519062,0.076521397,0,0,0,0.040513277,36,OPTIMAL,36,0.131110907,1
0,4,4,9,11,TRUE,TRUE,1,0.014526606,OPTIMAL,2,0,36,0.064010859,0.078537464,0,0,0,0.023525476,36,OPTIMAL,36,0.334619999,1
0,4,4,10,10,TRUE,TRUE,1,0.007002592,OPTIMAL,2,0,40,0.046531439,0.053534031,0,0,0,0.014533758,40,OPTIMAL,40,0.052529812,1
0,4,4,10,11,TRUE,TRUE,1,0.081227064,OPTIMAL,2,0,40,0.089540243,0.170767307,0,0,0,0.090229273,40,OPTIMAL,40,0.073280334,1
0,4,4,10,12,TRUE,TRUE,1,0.069532394,OPTIMAL,2,0,40,0.075846434,0.145378828,0,0,0,0.080857277,40,OPTIMAL,40,0.22738862,1
0,4,4,10,13,TRUE,TRUE,1,0.047002792,OPTIMAL,2,0,40,0.063582897,0.11058569,0,0,0,0.055515051,40,OPTIMAL,40,0.294761896,1
0,4,4,11,11,TRUE,TRUE,1,0.008996964,OPTIMAL,2,0,44,0.043801069,0.052798033,0,0,0,0.017501354,44,OPTIMAL,44,0.039001226,1
0,4,4,11,12,TRUE,TRUE,1,0.043510437,OPTIMAL,2,0,44,0.05500555,0.098515987,0,0,0,0.052509546,44,OPTIMAL,44,0.21672225,1
