tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
E_tight_asymmetric_n6_L10W8_s0,layered,tight,asymmetric,6,80,445,10,8,,True,0.6201431751251221,1.0,88.0,OPTIMAL,0.0,83.0,0,24,192.35666680336,83.0,1.4107797145843506,83.0,OPTIMAL,83.0,96.29992175102234,1.0
E_tight_asymmetric_n6_L3W10_s0,layered,tight,asymmetric,6,30,145,3,10,,True,0.1565194129943847,1.0,60.0,OPTIMAL,0.0,60.0,0,12,0.5888156890869141,60.0,0.3718314170837402,60.0,OPTIMAL,60.0,0.7244570255279541,1.0
E_tight_asymmetric_n6_L3W3_s0,layered,tight,asymmetric,6,9,12,3,3,,True,0.045175552368164,1.0,89.0,OPTIMAL,0.0,88.99999999999999,2,18,0.1604795455932617,88.99999999999999,0.0767486095428466,89.0,OPTIMAL,87.0,0.060515403747558594,1.0229885057471264
E_tight_asymmetric_n6_L3W5_s0,layered,tight,asymmetric,6,15,38,3,5,,True,0.0846860408782959,1.0,56.0,OPTIMAL,0.0,56.0,0,12,0.3101286888122558,56.0,0.1542990207672119,56.0,OPTIMAL,56.0,0.2537970542907715,1.0
E_tight_asymmetric_n6_L3W8_s0,layered,tight,asymmetric,6,24,94,3,8,,True,0.0840048789978027,1.0,62.0,OPTIMAL,0.0,62.0,0,12,0.5847136974334717,62.0,0.2901525497436523,62.0,OPTIMAL,62.0,0.5611217021942139,1.0
E_tight_asymmetric_n6_L5W10_s0,layered,tight,asymmetric,6,50,301,5,10,,True,0.3662633895874023,1.0000000000000002,69.0,OPTIMAL,0.0,69.0,0,12,4.7329607009887695,69.0,0.7786610126495361,69.0,OPTIMAL,69.0,3.8914642333984375,1.0
E_tight_asymmetric_n6_L5W3_s0,layered,tight,asymmetric,6,15,28,5,3,,True,0.0955336093902587,1.0,105.0,OPTIMAL,0.0,88.0,0,18,0.5016851425170898,88.0,0.1700689792633056,88.0,OPTIMAL,88.0,0.24933505058288574,1.0
E_tight_asymmetric_n6_L5W5_s0,layered,tight,asymmetric,6,25,73,5,5,,True,0.2031409740447998,1.0000000000000002,74.0,OPTIMAL,0.0,73.99999412427866,2,24,2.8737637996673584,73.9999941242825,0.3594613075256347,74.0,OPTIMAL,74.0,2.3939764499664307,1.0
E_tight_asymmetric_n6_L5W8_s0,layered,tight,asymmetric,6,40,188,5,8,,True,0.2692980766296386,1.0,70.0,OPTIMAL,0.0,62.0,1,30,4.015219449996948,62.0,0.5576879978179932,62.0,OPTIMAL,61.0,2.0285494327545166,1.0163934426229508
E_tight_asymmetric_n6_L8W10_s0,layered,tight,asymmetric,6,80,551,8,10,,True,1.1226749420166016,1.0000000000000002,58.0,OPTIMAL,0.0,53.99999999999999,5,48,278.09493255615234,54.0,2.1072824001312256,54.0,OPTIMAL,53.0,107.50068950653076,1.0188679245283019
