tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
E_tight_asymmetric_n6_L3W5_s0,layered,tight,asymmetric,6,15,38,3,5,,True,0.1036546230316162,1.0,56.0,OPTIMAL,0.0,56.0,0,12,0.3380112648010254,56.0,0.1677930355072021,56.0,OPTIMAL,56.0,0.2537970542907715,1.0
E_tight_asymmetric_n6_L3W8_s0,layered,tight,asymmetric,6,24,94,3,8,,True,0.0813241004943847,1.0,62.0,OPTIMAL,0.0,62.0,0,12,0.4014499187469482,62.0,0.2351057529449463,62.0,OPTIMAL,62.0,0.5611217021942139,1.0
E_tight_asymmetric_n6_L5W10_s0,layered,tight,asymmetric,6,50,301,5,10,,True,0.3748984336853027,1.0000000000000002,69.0,OPTIMAL,9.290226681601792e-06,68.99935897435897,0,12,3.4928267002105717,69.0,0.6432936191558838,69.0,OPTIMAL,69.0,3.8914642333984375,1.0
E_tight_asymmetric_n6_L5W3_s0,layered,tight,asymmetric,6,15,28,5,3,,True,0.1145355701446533,1.0,105.0,OPTIMAL,0.0,88.0,0,18,0.4288427829742431,88.0,0.1876301765441894,88.0,OPTIMAL,88.0,0.24933505058288574,1.0
E_tight_asymmetric_n6_L5W5_s0,layered,tight,asymmetric,6,25,73,5,5,,True,0.1753430366516113,1.0000000000000002,74.0,OPTIMAL,0.0,73.99999485714281,2,24,2.5806243419647217,73.99999485714275,0.2878556251525879,74.0,OPTIMAL,74.0,2.3939764499664307,1.0
E_tight_asymmetric_n6_L5W8_s0,layered,tight,asymmetric,6,40,188,5,8,,True,0.3208177089691162,1.0,70.0,OPTIMAL,0.0,61.99999905555555,1,30,3.232895612716675,61.99999905555555,0.5147473812103271,62.0,OPTIMAL,61.0,2.0285494327545166,1.0163934426229508
E_tight_asymmetric_n6_L8W10_s0,layered,tight,asymmetric,6,80,551,8,10,,True,1.0978403091430664,1.0000000000000002,58.0,OPTIMAL,0.0,54.00000000000018,5,48,181.1154284477234,54.0,1.5037615299224854,54.0,OPTIMAL,53.0,107.50068950653076,1.0188679245283019
E_tight_asymmetric_n6_L8W3_s0,layered,tight,asymmetric,6,24,50,8,3,,True,0.2092256546020507,1.0,121.0,OPTIMAL,0.0,102.00000000000004,40,150,47.99122762680054,102.0,0.3187122344970703,102.0,OPTIMAL,101.0,27.433716773986816,1.00990099009901
E_tight_asymmetric_n6_L8W5_s0,layered,tight,asymmetric,6,40,127,8,5,,True,0.2792980670928955,1.0,121.0,OPTIMAL,0.0,115.99999999999991,0,24,185.89790725708008,116.0,0.4488551616668701,116.0,OPTIMAL,116.0,159.77433896064758,1.0
E_tight_asymmetric_n6_L8W8_s0,layered,tight,asymmetric,6,64,339,8,8,,True,0.3833186626434326,1.0,82.0,TIME_LIMIT,0.0856430271228258,71.31984388441957,28,108,600.2693085670471,77.99999999999999,0.6213862895965576,78.0,OPTIMAL,74.0,241.42187762260437,1.054054054054054
E_tight_asymmetric_n8_L10W10_s0,layered,tight,asymmetric,8,100,705,10,10,,True,1.1737112998962402,1.0000000000000002,75.0,TIME_LIMIT,0.1400261845349148,63.63806234441631,1,32,600.3874547481537,74.00000000000001,1.984331130981445,74.0,OPTIMAL,68.0,502.6099259853363,1.088235294117647
E_tight_asymmetric_n8_L10W3_s0,layered,tight,asymmetric,8,30,63,10,3,,True,0.2555418014526367,1.0,177.0,OPTIMAL,0.0,136.99999999999994,0,48,74.98626637458801,137.00000000000003,0.4728610515594482,137.0,OPTIMAL,137.0,86.52720952033997,1.0
E_tight_asymmetric_n8_L10W5_s0,layered,tight,asymmetric,8,50,165,10,5,,True,0.9627819061279296,1.0000000000000002,146.0,OPTIMAL,0.0,129.0,0,40,397.6731457710266,129.0,1.2063634395599363,129.0,OPTIMAL,129.0,341.89311242103577,1.0
E_tight_asymmetric_n8_L10W8_s0,layered,tight,asymmetric,8,80,445,10,8,,True,1.0409958362579346,1.0000000000000002,116.0,TIME_LIMIT,0.0581183640081513,88.53687378323377,8,48,600.480179309845,94.0,1.7344727516174316,94.0,FEASIBLE,98.0,1204.4494297504425,0.9591836734693877
E_tight_asymmetric_n8_L3W10_s0,layered,tight,asymmetric,8,30,145,3,10,,True,0.225909948348999,1.0,81.0,OPTIMAL,0.0,74.0,0,24,0.7454850673675537,74.0,0.3919150829315185,74.0,OPTIMAL,74.0,1.2085931301116943,1.0
E_tight_asymmetric_n8_L3W3_s0,layered,tight,asymmetric,8,9,12,3,3,,True,0.0728280544281005,1.0,101.0,OPTIMAL,0.0,89.0,0,24,0.2948586940765381,89.0,0.1278223991394043,89.0,OPTIMAL,89.0,0.26321935653686523,1.0
E_tight_asymmetric_n8_L3W5_s0,layered,tight,asymmetric,8,15,38,3,5,,True,0.1289451122283935,1.0,86.0,OPTIMAL,0.0,78.0,3,48,0.8896920680999756,78.0,0.2534742355346679,78.0,OPTIMAL,72.0,0.859938383102417,1.0833333333333333
E_tight_asymmetric_n8_L3W8_s0,layered,tight,asymmetric,8,24,94,3,8,,True,0.2326741218566894,1.0,103.0,OPTIMAL,0.0,84.0,0,24,0.7556362152099609,84.0,0.4240038394927978,84.0,OPTIMAL,84.0,1.4580211639404297,1.0
E_tight_asymmetric_n8_L5W10_s0,layered,tight,asymmetric,8,50,301,5,10,,True,0.4991841316223144,1.0,84.0,OPTIMAL,0.0,73.0,0,24,8.842289924621582,73.0,0.8921699523925781,73.0,OPTIMAL,73.0,10.714854001998901,1.0
E_tight_asymmetric_n8_L5W3_s0,layered,tight,asymmetric,8,15,28,5,3,,True,0.1043741703033447,1.0,107.0,OPTIMAL,0.0,89.999998614391,2,48,5.119527578353882,89.9999986130307,0.192880630493164,90.0,OPTIMAL,90.0,2.063861846923828,1.0
E_tight_asymmetric_n8_L5W5_s0,layered,tight,asymmetric,8,25,73,5,5,,True,0.1564357280731201,1.0000000000000002,96.0,OPTIMAL,0.0,89.00000000000003,0,24,3.420151472091675,89.0,0.3053796291351318,89.0,OPTIMAL,89.0,2.1104800701141357,1.0
E_tight_asymmetric_n8_L5W8_s0,layered,tight,asymmetric,8,40,188,5,8,,True,0.3244609832763672,1.0000000000000002,90.0,OPTIMAL,0.0,72.99999999999967,2,40,4.983946323394775,73.0,0.5640714168548584,73.0,OPTIMAL,73.0,5.505465269088745,1.0
E_tight_asymmetric_n8_L8W10_s0,layered,tight,asymmetric,8,80,551,8,10,,True,1.112839698791504,1.0000000000000002,96.0,TIME_LIMIT,0.2879869619001341,68.35325165758712,8,32,600.6509702205658,96.0,1.8539457321166992,96.0,OPTIMAL,70.0,139.69303035736084,1.3714285714285714
E_tight_asymmetric_n8_L8W3_s0,layered,tight,asymmetric,8,24,50,8,3,,True,0.2448596954345703,1.0000000000000002,125.0,OPTIMAL,0.0,112.0,0,24,39.66177463531494,112.0,0.4319133758544922,112.0,OPTIMAL,112.0,62.67369627952576,1.0
E_tight_asymmetric_n8_L8W5_s0,layered,tight,asymmetric,8,40,127,8,5,,True,0.4566080570220947,1.0000000000000002,131.0,OPTIMAL,0.0,110.0,10,80,148.7835395336151,110.0,0.7003998756408691,110.0,OPTIMAL,110.0,194.70393824577332,1.0
E_tight_asymmetric_n8_L8W8_s0,layered,tight,asymmetric,8,64,339,8,8,,True,0.7003164291381836,1.0000000000000002,75.0,OPTIMAL,0.0,70.99999999999997,0,24,6.800715208053589,71.0,1.1818430423736572,71.0,OPTIMAL,71.0,10.03359866142273,1.0
F_loose_asymmetric_n2_L10W10_s0,layered,loose,asymmetric,2,100,705,10,10,,True,0.2864291667938232,1.0,34.0,OPTIMAL,0.0,33.0,0,6,1.072181224822998,33.0,0.4379715919494629,33.0,OPTIMAL,33.0,1.5167508125305176,1.0
F_loose_asymmetric_n2_L10W3_s0,layered,loose,asymmetric,2,30,63,10,3,,True,0.0500068664550781,1.0,73.0,OPTIMAL,0.0,66.0,0,6,0.1737539768218994,66.0,0.0798439979553222,66.0,OPTIMAL,66.0,0.126295804977417,1.0
F_loose_asymmetric_n2_L10W5_s0,layered,loose,asymmetric,2,50,165,10,5,,True,0.0450012683868408,1.0,63.0,OPTIMAL,0.0,63.0,0,4,0.1850588321685791,63.0,0.0795164108276367,63.0,OPTIMAL,63.0,0.1872711181640625,1.0
F_loose_asymmetric_n2_L10W8_s0,layered,loose,asymmetric,2,80,445,10,8,,True,0.1183741092681884,1.0,52.0,OPTIMAL,0.0,52.0,0,4,0.5320513248443604,52.0,0.226896047592163,52.0,OPTIMAL,52.0,0.7591161727905273,1.0
F_loose_asymmetric_n2_L3W10_s0,layered,loose,asymmetric,2,30,145,3,10,,True,0.0410070419311523,1.0,22.0,OPTIMAL,0.0,22.0,0,4,0.1461973190307617,22.0,0.0909276008605957,22.0,OPTIMAL,22.0,0.3603541851043701,1.0
F_loose_asymmetric_n2_L3W3_s0,layered,loose,asymmetric,2,9,12,3,3,,True,0.0113816261291503,1.0,52.0,OPTIMAL,0.0,52.0,0,4,0.0394582748413085,52.0,0.027461290359497,52.0,OPTIMAL,52.0,0.010935068130493164,1.0
F_loose_asymmetric_n2_L3W5_s0,layered,loose,asymmetric,2,15,38,3,5,,True,0.040184736251831,1.0,15.0,OPTIMAL,0.0,15.0,0,4,0.1007070541381836,15.0,0.0651848316192627,15.0,OPTIMAL,15.0,0.06152486801147461,1.0
F_loose_asymmetric_n2_L3W8_s0,layered,loose,asymmetric,2,24,94,3,8,,True,0.0518996715545654,1.0,13.0,OPTIMAL,0.0,13.0,0,4,0.1329240798950195,13.0,0.0879049301147461,13.0,OPTIMAL,13.0,0.17254900932312012,1.0
F_loose_asymmetric_n2_L5W10_s0,layered,loose,asymmetric,2,50,301,5,10,,True,0.1781733036041259,1.0000000000000002,28.0,OPTIMAL,0.0,26.0,0,6,0.708406925201416,26.0,0.274432897567749,26.0,OPTIMAL,26.0,0.9450862407684326,1.0
F_loose_asymmetric_n2_L5W3_s0,layered,loose,asymmetric,2,15,28,5,3,,True,0.0617640018463134,1.0,25.0,OPTIMAL,0.0,25.0,0,4,0.1363832950592041,25.0,0.0898506641387939,25.0,OPTIMAL,25.0,0.06174945831298828,1.0
F_loose_asymmetric_n2_L5W5_s0,layered,loose,asymmetric,2,25,73,5,5,,True,0.0638284683227539,1.0,40.0,OPTIMAL,0.0,40.0,0,4,0.1294138431549072,40.0,0.0863327980041503,40.0,OPTIMAL,40.0,0.09402036666870117,1.0
